AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2012,5635,9,ESCUELA TROMEN,9,,,9112,PADRE LAS CASAS,,,2,1,1,,10,1,1,5,5,A,1,1,,11159899,1,20060904,5,9,9112,PADRE LAS CASAS,0,0,0,,1
2012,5635,9,ESCUELA TROMEN,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,5,5,A,3,1,,23783188,1,20010809,10,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5646,4,ESCUELA CHOMIO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,10,1,1,4,4,A,3,1,,3427420,2,20080214,4,9,9112,PADRE LAS CASAS,0,0,0,,1
2012,5646,4,ESCUELA CHOMIO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,4,4,A,3,2,,9258666,1,20030223,9,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5646,4,ESCUELA CHOMIO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,7,7,A,3,0,,7479736,1,19990825,12,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5646,4,ESCUELA CHOMIO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,8,8,A,3,0,,9809770,1,19981017,13,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5646,4,ESCUELA CHOMIO,9,,,9112,PADRE LAS CASAS,,,2,1,1,,110,2,2,8,8,A,3,0,,21175195,2,19980508,14,9,9112,PADRE LAS CASAS,0,0,0,,3
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,410,7,6,3,3,B,3,0,,20919064,2,19950526,17,9,9112,PADRE LAS CASAS,410,41002,410,,8
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,510,7,6,1,1,H,3,0,,13910727,2,19980109,14,9,9112,PADRE LAS CASAS,0,0,510,,6
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,510,7,6,1,1,I,3,0,,9096876,2,19980125,14,9,9112,PADRE LAS CASAS,0,0,510,,6
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,510,7,6,1,1,J,3,0,,5947319,2,19980429,14,9,9112,PADRE LAS CASAS,0,0,510,,6
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,510,7,6,4,4,F,3,0,,21545070,1,19921125,19,9,9101,TEMUCO,530,53014,510,,8
2012,5663,4,COMPLEJO EDUCACIONAL PADRE OSCAR MOSER,9,,,9112,PADRE LAS CASAS,,,3,2,0,,610,7,6,4,4,J,3,0,,16702629,2,19940108,18,9,9112,PADRE LAS CASAS,620,62004,610,,8
2012,5667,7,ESC.PARTIC. MONS.GUIDO DE RAMBERGA,9,,,9112,PADRE LAS CASAS,,,3,2,0,,10,1,1,4,4,A,1,0,,215528,1,20080129,4,9,9112,PADRE LAS CASAS,0,0,0,,1
