AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,COD_TIP_CUR,COD_DES_CUR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,COD_REG_ALU,COD_COM_ALU,NOM_COM_ALU,COD_SEC,COD_ESPE,COD_RAMA,COD_MEN,ENS
2021,8365,8,LICEO SAN FELIPE BENICIO DE COYHAIQUE,11,AYSEN,111,11101,COYHAIQUE,111,0,3,2,0,1,310,5,4,4,4,D,3,0,0,24271623,2,200311,17,11,11101,COYHAIQUE,0,0,0,0,7
2021,8415,8,ESCUELA CAPITAN JUAN LADRILLERO,12,MAG,124,12401,NATALES,121,0,1,1,0,1,110,2,2,8,8,A,1,0,0,11748221,2,200711,13,12,12401,NATALES,0,0,0,0,3
2021,8442,5,ESCUELA PEDRO PABLO LEMAITRE,12,MAG,121,12101,PUNTA ARENAS,121,0,1,1,0,1,310,5,4,3,3,A,3,0,0,1104949,1,200404,17,12,12101,PUNTA ARENAS,0,0,0,0,7
2021,8444,1,ESCUELA PATAGONIA,12,MAG,121,12101,PUNTA ARENAS,121,0,1,1,0,1,110,2,2,6,6,B,3,0,0,797723,1,200808,12,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,8454,9,INSTITUTO DON BOSCO,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,110,2,2,2,2,A,1,0,0,23137685,1,201403,7,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,8454,9,INSTITUTO DON BOSCO,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,110,2,2,2,2,B,1,0,0,17855481,1,201307,7,8,8305,MULCHÉN,0,0,0,0,3
2021,8454,9,INSTITUTO DON BOSCO,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,510,7,6,2,2,A,3,0,0,17806225,1,200505,16,12,12101,PUNTA ARENAS,0,0,0,0,6
2021,8455,7,LICEO MARIA AUXILIADORA,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,110,2,2,5,5,B,3,0,0,3672336,2,201005,11,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,8455,7,LICEO MARIA AUXILIADORA,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,110,2,2,5,5,B,3,0,0,25148277,2,201003,11,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,8457,3,INSTITUTO SAGRADA FAMILIA,12,MAG,121,12101,PUNTA ARENAS,121,0,3,2,0,1,110,2,2,8,8,B,3,0,0,10026139,2,200712,13,12,12101,PUNTA ARENAS,0,0,0,0,3
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,25686291,1,201705,4,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,25720947,1,201704,4,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,25898953,2,201803,3,13,13101,SANTIAGO,0,0,0,0,1
2021,8463,8,THE BRITISH SCHOOL,12,MAG,121,12101,PUNTA ARENAS,121,0,4,3,0,1,10,1,1,3,3,A,1,0,0,25915977,1,201705,4,12,12101,PUNTA ARENAS,0,0,0,0,1
